types,counts,probs,total_unique
the,29537,0.03980663385497809,47507
a,21142,0.028492800655515006,47507
and,18830,0.025376948081702183,47507
i,15844,0.021352754402893755,47507
of,14937,0.020130402203737945,47507
to,13230,0.01782990032506213,47507
it,11991,0.016160116008905517,47507
this,10471,0.014111631617817501,47507
is,10420,0.014042899575748101,47507
in,10279,0.013852875694732699,47507
s,9793,0.013197899764424295,47507
that,7990,0.010768019924206078,47507
but,5841,0.007871840347595457,47507
was,5416,0.007299073330350452,47507
for,5243,0.007065923462154251,47507
with,5120,0.0069001579489280495,47507
film,4522,0.006094241063486844,47507
as,4418,0.005954081605149243,47507
movie,4404,0.005935213985757643,47507
t,4256,0.005735756295046441,47507
you,4213,0.005677805749772241,47507
on,3736,0.005034959003358436,47507
so,3589,0.004836848999746635,47507
my,3290,0.004433890557026032,47507
me,3278,0.004417718311833232,47507
like,2969,0.004001282998118629,47507
not,2931,0.003950070888341428,47507
one,2835,0.0038206929267990274,47507
be,2808,0.003784305375115227,47507
his,2652,0.003574066187608826,47507
an,2598,0.0035012910842412252,47507
at,2544,0.0034285159808736245,47507
he,2513,0.0033867376807922246,47507
all,2512,0.0033853899936928246,47507
just,2442,0.0032910518967348237,47507
love,2441,0.0032897042096354237,47507
are,2385,0.003214233732069023,47507
about,2323,0.0031306771319062226,47507
have,2306,0.0031077664512164224,47507
from,2247,0.0030282529123518216,47507
by,2211,0.0029797361767734216,47507
can,2140,0.0028840503927160207,47507
what,2064,0.00278162617316162,47507
her,2035,0.00274254324727902,47507
they,1839,0.0024783965757966177,47507
more,1811,0.0024406613370134174,47507
time,1793,0.0024164029692242176,47507
who,1780,0.0023988830369320174,47507
there,1742,0.002347670927154817,47507
when,1688,0.0022748958237872163,47507
really,1666,0.002245246707600416,47507
she,1616,0.0021778623526304158,47507
out,1599,0.0021549516719406156,47507
good,1576,0.0021239548686544153,47507
up,1559,0.002101044187964615,47507
has,1524,0.0020538751394856146,47507
m,1520,0.0020484843910880146,47507
de,1514,0.0020403982684916145,47507
how,1498,0.0020188352749012147,47507
no,1494,0.0020134445265036147,47507
if,1488,0.0020053584039072146,47507
some,1424,0.0019191064295456138,47507
much,1363,0.0018368975164822132,47507
very,1329,0.001791076155102613,47507
or,1310,0.0017654701002140128,47507
its,1257,0.0016940426839458123,47507
ve,1204,0.0016226152676776116,47507
story,1182,0.0015929661514908116,47507
would,1169,0.0015754462191986114,47507
had,1165,0.0015700554708010113,47507
do,1154,0.0015552309127076112,47507
than,1138,0.001533667919117211,47507
because,1121,0.0015107572384274108,47507
we,1120,0.0015094095513280108,47507
even,1120,0.0015094095513280108,47507
also,1108,0.0014932373061352108,47507
great,1094,0.0014743696867436107,47507
way,1094,0.0014743696867436107,47507
watch,1083,0.0014595451286502105,47507
into,1073,0.0014460682576562104,47507
most,1066,0.0014366344479604103,47507
only,1062,0.0014312436995628103,47507
que,1059,0.0014272006382646102,47507
first,1034,0.0013935084607796101,47507
don,1028,0.00138542233818321,47507
get,1022,0.00137733621558681,47507
their,1017,0.00137059778008981,47507
best,1009,0.0013598162832946098,47507
know,984,0.0013261241058096095,47507
man,978,0.0013180379832132094,47507
films,956,0.0012883888670264093,47507
which,952,0.0012829981186288093,47507
well,935,0.001260087437939009,47507
life,924,0.001245262879845609,47507
think,923,0.001243915192746209,47507
ever,918,0.0012371767572492089,47507
too,907,0.0012223521991558087,47507
made,901,0.0012142660765594086,47507
being,897,0.0012088753281618088,47507
movies,888,0.0011967461442672087,47507
still,876,0.0011805738990744085,47507
here,866,0.0011670970280804084,47507
two,854,0.0011509247828876083,47507
people,848,0.0011428386602912082,47507
been,840,0.001132057163496008,47507
were,836,0.001126666415098408,47507
could,835,0.001125318727999008,47507
where,831,0.001119927979601408,47507
him,821,0.001106451108607408,47507
character,800,0.0010781496795200078,47507
see,799,0.0010768019924206078,47507
never,791,0.0010660204956254077,47507
every,791,0.0010660204956254077,47507
seen,790,0.0010646728085260077,47507
will,775,0.0010444575020350075,47507
your,774,0.0010431098149356075,47507
make,754,0.0010161560729476074,47507
after,751,0.0010121130116494074,47507
comedy,743,0.0010013315148542073,47507
little,741,0.0009986361406554073,47507
other,725,0.000977073147065007,47507
la,725,0.000977073147065007,47507
bad,721,0.000971682398667407,47507
