types,counts,probs,total_unique
the,74518,0.045712666220487946,71381
a,49710,0.030494332078430123,71381
and,38325,0.023510265075554905,71381
of,36527,0.022407291648135527,71381
i,30932,0.018975068997183677,71381
it,29013,0.017797868770699922,71381
to,28599,0.017543902697868097,71381
this,22803,0.013988377678222532,71381
is,22074,0.013541176549975185,71381
s,21180,0.01299275705936733,71381
in,20959,0.012857185798266283,71381
that,18661,0.011447490060663538,71381
but,12961,0.00795085572457318,71381
with,11790,0.00723251207412374,71381
was,11474,0.007038663574087854,71381
for,11249,0.00690063853450534,71381
movie,9985,0.006125244534361794,71381
as,9689,0.005943664926733242,71381
t,9538,0.005851034789057866,71381
film,9471,0.005809933999493294,71381
on,9055,0.005554741037420735,71381
you,8499,0.005213665828496834,71381
horror,7207,0.004421095378983019,71381
one,6767,0.004151179746021658,71381
so,6638,0.00407204538999435,71381
not,6507,0.003991684144726309,71381
an,6418,0.003937087573513669,71381
like,6393,0.003921751458004502,71381
be,5855,0.003591718252247201,71381
from,5709,0.0035021553376736584,71381
my,5558,0.0034095251999982823,71381
are,5472,0.0033567689626467436,71381
all,5239,0.003213836366101296,71381
just,5091,0.00312304656228702,71381
me,5068,0.003108937336018585,71381
at,5066,0.0031077104467778513,71381
by,5050,0.0030978953328519836,71381
have,4879,0.002992996302769273,71381
some,4568,0.00280221502583522,71381
there,4564,0.0027997612473537534,71381
his,4426,0.0027151058897431444,71381
what,4371,0.0026813664356229745,71381
out,4232,0.002596097633391999,71381
about,4194,0.0025727867378180632,71381
more,4157,0.0025500892868644946,71381
up,4146,0.00254334139604046,71381
really,4069,0.0024961061602722222,71381
he,4053,0.0024862910463463546,71381
they,4049,0.0024838372678648874,71381
can,4046,0.0024819969340037873,71381
good,3722,0.002283240877004967,71381
has,3652,0.002240299753579296,71381
time,3446,0.0021139301617837496,71381
or,3388,0.0020783503738024795,71381
if,3378,0.002072215927598812,71381
who,3352,0.002056266367469277,71381
its,3256,0.0019973756839140712,71381
when,3255,0.0019967622392937042,71381
into,2961,0.0018164095209058859,71381
much,2853,0.0017501575019062791,71381
no,2804,0.0017200987155083095,71381
m,2747,0.0016851323721474058,71381
very,2741,0.0016814517044252055,71381
had,2699,0.001655687030369803,71381
than,2688,0.0016489391395457687,71381
ve,2624,0.0016096786838422981,71381
even,2622,0.0016084517946015646,71381
fun,2559,0.0015698047835184608,71381
we,2520,0.0015458804433241583,71381
first,2485,0.0015244098816113228,71381
would,2474,0.0015176619907872886,71381
how,2460,0.0015090737661021545,71381
her,2442,0.0014980317629355534,71381
get,2426,0.0014882166490096857,71381
great,2423,0.0014863763151485856,71381
watch,2388,0.00146490575343575,71381
which,2366,0.0014514099717876819,71381
films,2326,0.0014268721869730126,71381
also,2301,0.0014115360714638445,71381
well,2293,0.0014066285145009107,71381
most,2285,0.0014017209575379768,71381
story,2267,0.0013906789543713758,71381
pretty,2238,0.0013728890603807405,71381
movies,2229,0.0013673680587974399,71381
love,2206,0.0013532588325290051,71381
way,2196,0.001347124386325338,71381
don,2173,0.0013330151600569032,71381
only,2170,0.001331174826195803,71381
bad,2155,0.001321973156890302,71381
do,2151,0.001319519378408835,71381
been,2067,0.0012679900302980298,71381
little,2054,0.0012600152502332622,71381
because,2030,0.001245292579344461,71381
made,2022,0.001240385022381527,71381
here,1978,0.001213393459085391,71381
being,1971,0.0012090993467428238,71381
still,1958,0.0012011245666780563,71381
too,1944,0.0011925363419929222,71381
were,1926,0.001181494338826321,71381
man,1903,0.0011673851125578861,71381
off,1854,0.0011373263261599165,71381
people,1850,0.0011348725476784496,71381
their,1842,0.0011299649907155157,71381
de,1822,0.001117696098308181,71381
see,1815,0.001113401985965614,71381
think,1785,0.001094998647354612,71381
seen,1773,0.0010876373119102114,71381
she,1771,0.0010864104226694779,71381
where,1689,0.001036107963799406,71381
know,1687,0.0010348810745586727,71381
after,1678,0.001029360072975372,71381
make,1675,0.001027519739114272,71381
could,1663,0.0010201584036698711,71381
while,1659,0.0010177046251884042,71381
your,1626,0.000997460952716302,71381
lot,1619,0.000993166840373735,71381
them,1615,0.000990713061892268,71381
something,1599,0.0009808979479664004,71381
then,1587,0.0009735366125219997,71381
re,1587,0.0009735366125219997,71381
never,1571,0.000963721498596132,71381
ever,1569,0.0009624946093553985,71381
best,1524,0.0009348896014388957,71381
over,1495,0.0009170997074482606,71381
better,1476,0.0009054442596612927,71381
going,1421,0.0008717048055411226,71381
did,1401,0.000859435913133788,71381
thing,1396,0.0008563686900319544,71381
watching,1391,0.0008533014669301206,71381
effects,1386,0.000850234243828287,71381
may,1385,0.0008496207992079203,71381
other,1382,0.0008477804653468201,71381
any,1373,0.0008422594637635196,71381
